Age,APVx
26,0.08256748843303753
27,0.08398995511762627
28,0.08539226121384391
29,0.08798003626698547
30,0.09059291666272754
31,0.09342722368849139
32,0.09639045151642374
33,0.10032514431405201
34,0.10488229031090844
35,0.1095868154079716
36,0.11471067085442961
37,0.11963146656844681
38,0.12308620200655723
39,0.12593724444225374
40,0.1278965556587797
41,0.12923268272120716
42,0.12999402983266684
43,0.12978845447497356
44,0.1289868284143259
45,0.1274941575076779
46,0.1253990191095907
47,0.12232636434694882
48,0.1181230950592627
49,0.1136436522747311
50,0.10751409667879339
51,0.10099788742329627
52,0.09360132398326043
53,0.08547284035765583
54,0.07735992529701305
55,0.06893629626052974
56,0.06060016946014663
57,0.05290038279948895
58,0.045760978088092014
59,0.03917237679880038
60,0.03311582506873592
61,0.027604745347420034
62,0.02262649822535804
63,0.01816243399884498
64,0.014226290424812047
65,0.010816999553490565
66,0.007961159920003732
67,0.005624842854152192
68,0.003745830311381518
69,0.0023770537019228077
70,0.0013529929856505524
71,0.0006810174822521293
72,0.00028535761955919494
73,6.548457795379677e-05
74,0.0
